file_name|transcription
018dc7c2a703f43c68eed3866d758f16cf5af9a10706fb721ac1bc13d094776e63e155caa38ab2fcc565e7f0228099379ec6b8b591c34ce6e7d649c7ffe3c644|The crooked maze failed to fool the mouse.
02bca28ca3ad2af07be6cdbbaf7dbab9c93e6c0b1d75d093aa1f4f5723488bf58a974a9c6cfe5d1eb28399d91c06a108f0cccf34c1bbc690c9ed43037caa4364|It is all right.
04d36363826746e99394b42823971f8aaebf4d69466a0748ecf4d4430bc57091fd5dcb7ccc68079527dfefda1d1dc3dc147bbc72d532a46efa88ed2f527a3ccc|It sort of makes a fellow lose faith in himself.
00d12e11ec13e3b417555b31c44c699654295e0b7bf3f7da43eb86463b46224f53e3d380c8f0d55371af47980dee62d58cdc67ef8b1eb2c15db99bb5bf75b7d6|If you don't know any alternative search engines, just google them.
03f971cf5e01e081cf58dca700eda65065101e9a25bf9b32b0a88e1538b858c403e7048715e4ee34aeceae082a6448897cab211b882c2480b95aba1ba682484b|What is the matter?
0474769709f2dd76be34bf9f85455aec37596a4fa1c4e5d3169ab101cc9ba579039fc7d318041531ffb9555f8f4bdd48491f4b2805148e43eaf3686163684284|I see what you mean.
0457af8cbbe5af3fb632df1a36888a6656e2db4e061902411e93a2e14436cd004efaafe4cb6a6dad1e0949b42802bb3a065f1d85a4e743a1a1c721e6dfb1359e|The weather forecast for this week didn't look good at all.
02c8096aab2b6f96c449535b0e832262b906abaf671848e6429e41c4c896087b2328d1a550e8ff27047b2a473e3cb94548facc398683a265efc0c5a6300242c6|Sooner or later, they'll find out how to read these hieroglyphics.
015c3dd487d208610f36ecead4b3f897075f89c7f784824a3b91c0edd09145aa92a92078fea84c10eebbcf99eb2720854f7d3022bb1e843c790926da9f6805d0|Tomorrow, sell your camel and buy a horse.
028fc0d6cfa21d76375d5b8e7c9f6e77f5cefb96ca42214b2c9bf4302207cb8faa10526ef40ac1c02ebaf4c14d6456c3be686251e4aa28753c20ab2650e1c906|I was impatient to see it opened.
0209bdc905ac87ee170f81e5167f6597c2002036741964fc34ed69e8a26747913db8e06a45117c5de0a2bb72bc38249762768e8cf9b2bff0c23c8c1a3b85acf8|Thank you for reading this out loud.
059f45d292437f1fd71124ccc4fd1accbd0b5f05cbca2f91defd8836579ec533c5402eec80d2eabf8cdda3ff1ebb1f816a4e0753a2815a144ac3110fdbe2db80|"""And you've told me nothing along the way,"" said the boy."
03034b23aec07046c19a3e3337634eafb7d99a719715b81b606e04a5a65d712265474d13e846353971ca5788fff94290d46cf7a6c1b491c33d329a4983a03fb1|In spite of this, I still believed that there were men in Mars.
00f7378b01bb8a207ddf5340b296a142dc583b07ce9cdf7e8e26bd9f3825234d7485f4829f239613f903a111892a61206edab59fe4fcf9bbfc9cc98abf40b561|He picked up the two stones and put them back in his pouch.
00763abfd142acded7e883c5fa64b4782bd9c7dad8cab48fec237657825611741586acdea085a8ae1dde6edf41d5f2fe4abf6a6856b1c534ee62f89b6998f508|Based on the omens of the present.
009b32dc679e56fad621848014b89e9811f089583e24f91842af4d575f738b6e33980b58fafc7be0b487a2f5f9fc360949ca2fd795dd4f3c96ab312909e0a6f7|I promise, I will be careful!
03cdbc701e3b7246b1caf1f78578944ac1a6310162ef1c29ff42bd7dd7507b88d13c2dc18696c6df7e018b6d4b5bd6fd9734ae0b46040e94da7aeba94b99121f|What do you want done with them tomorrow morning?
02ab3897cf608ce75f5731a85ac144ad8db24de8b4bfa2b5af77b8f208da3e42a0ad3f331fda173d7865b32efc61cce47acac8d83566994ac5a18866694cc367|Men play football as a crowd watches.
023d3edc7026359c9547439ca1cddf60673c54e14749f1c56f5beb02aa98b40dd421035b336792a0b59a879188446e88f273abee5ca2e1b801ba8a5d5700fa50|Where did Charlotte leave her keys?
012f4d41d47b60f2f74349c7ab80fad2906591d6e8a815fe1c92e525e9036be5513f78e237570a4caafcbca2231629400c71f5390eb2c799a3c7fd79519862f1|She was accused of making wrong accusations.
0539f88bfe032afd020e396fb76bc55984b39fc7167957df234f8c04b5ee10dfd71f7f87b1abcb692e9771a92d95e8988ec43a7b60ad4daa5e6acee03ee21a8a|The trees swayed uniformly in the breeze.
02a11b113c83e9792932dfaa8c0df5cd71011ea2bf3a86049e7e30eeb2a6422f32ca8ca4700e47fcb12fc00d26ced516099d0e8956cd5bec64e8098c42d82c04|How do you know that?
045a19ab9ed94ed558e4c546634a3b11c671e3e691293559f3f31c254309542f4db203eac9807ab38db13a719ed6b069be3130791c6abc9976bd046f4efb3a66|All sat frozen and watched the screen.
04a3153ff7aaed48448c08cc379e2c7f546326dcdd75ec9f232160eddec494c630794f3e2d508ed03aeecfee372f0d01c929f2ba7a7a1a58f17c42b313b05055|It must have fallen while I was sitting over there.
0374cd750d76d8b0aa59d28ee4170f6105ab3fb667035399c3c41585d176efc832e97b2417712f7c1c703f95017c54567e4d25bd3ccc4ac988efefd42d090cf1|Swimmer in a red bathing suit, white cap, and blue goggles emerging from the water
02ada5dd1fa662844b956aa50796b62f382446c38127f5f95a8015f68577ae31449cc5c04be8c73548246de87f52444de39c55614daa5313068adba2f70d4d4c|Maybe we ought to go join her at the party.
031cb1587ef3c6cc4248bf17f419d8e4625ff395d4faf9b0fe2aa3e5c5177a652b00a088418075782f3f7bf044c4b81bee7f14ce16b9e440b2af17c267c2f748|Don't you know me?
011bbb9e5971fc0baa57880ec52c30e32b0235abd7fa451bde33c3388a9b860f6f95d672f79482b7c5e51e456cf728e2f811b393369e057554fb162d4ed27a63|Ground station to flight one-oh-one, please correct your altitude, over!
01bcc19990c832787c691256bed2020d1f58576e57695b3879896901eba9bac5e6029f88003961671788d8f37a575500c124661049200130fe9923dc5effe528|They ate in silence.
